anyinyongchuandi 按引用传递
anzhichuandi 按值传递
anzhuangtiaoshi 安装调试
baohanwenjian 包含文件
baojingfuwei 报警复位
bendicunfangdizhi 本地存放地址
bendihua 本地化
bianliang 变量
bianliangbiao 变量表
bianma 编码
bianyi 编译
bianyiqi 编译器
biaozhifu 标识符
biaozhunpeizhi 标准配置
bingfashu 并发数
buhuoyichang 捕获异常
bukefengede 不可分割的
canjian 参见
canshu 参数
canshuxinxi 参数信息
caozuofu 操作符
caozuoxitong 操作系统
chacuo 查错
chakan 查看
charuweizhi 插入位置
changliang 常量
changzhengshu 长整数
chaojimuma 超级木马
chaowenbenchuanshuxieyi 超文本传输协议
chengxubanbenhao 程序版本号
chengxubeizhu 程序备注
chengxuchi 程序池
chengxuduan 程序段
chengxuji 程序集
chengxujibianliang 程序集变量
chengxuleixing 程序类型
chengxumingcheng 程序名称
chengxuyichang 程序异常
chengyuan 成员
chengyuanfangfa 成员方法
chengyuanhanshu 成员函数
chengyuanshuxing 成员属性
chongxinguanlianmingcheng 重新关联名称
chongzai 重载
chouxiang 抽象
chouxiangfangfa 抽象方法
chouxiangti 抽象体
chouxiangwu 抽象物
chouxiangxing 抽象性
chushihua 初始化
chuangeihanshidezhi 传给函式的值
chuanzhicanshu 传值参数
chuangjianduixiang 创建对象
chuangkoubiaoti 窗口标题
chuangkoutoumingzairu 窗口透明载入
chuangkouzhuangtaikongzhi 窗口状态控制
cishu 次数
cunchujishu 存储技术
cunqu 存取
cunquhanshi 存取函式
cunqujibie 存取级别
dashuju 大数据
daibianmashuju 待编码数据
daikuan 带宽
daima 代码
danlimoshi 单例模式
danxingzhushi 单行注释
danyuanceshi 单元测试
dangqianjinchengjubing 当前进程句柄
dipeizhi 低配置
dizhi 地址
dizhizongxian 地址总线
diaoyongbiao 调用表
dingxiangyingxiao 定向营销
dingzhikongjian 定址空间
diubao 丢包
dongduotai 动多态
dongjingduotai 动静多态
duneicunwenben 读内存文本
duneicunzhengshu 读内存整数
duwenbenxingneicun 读文本型内存
duzhengshuneicun 读整数内存
duzhengshuxingneicun 读整数型内存
duanyan 断言
duanzhengshu 短整数
duilie 队列
duogongnengtiao 多功能条
duohangzhushi 多行注释
duomeitijishuyingyong 多媒体技术应用
duotai 多态
duoweishuzu 多维数组
ewaixinxi 额外信息
